1985,Bowling For Soup,A Hangover You Don't Deserve,sliked,0
'Til The Money Runs Out,Tom Waits,Heartattack And Vine,sliked,0
A Shogun Named Marcus,Clutch,"Transnational Speedway League: Anthems, Anecdotes And Undeniable Truths",CrapFromtheHeyDays,0
Addiction,The Almighty,Free 'N' Easy - The Collection,CrapFromtheHeyDays,0
Aerials,System Of A Down,Toxicity,CrapFromtheHeyDays,0
Ain't No Rest For The Wicked - Original Version,Cage The Elephant,Cage The Elephant,CrapFromtheHeyDays,0
Alive - Chris Lord-Alge Mix,P.O.D.,Satellite (U.S. Version),CrapFromtheHeyDays,0
All Along The Watchtower,Jimi Hendrix,Music From The Motion Picture Watchmen,sliked,0
All Right Now,Free,70s Classic Rock,sliked,0
All Summer Long,Kid Rock,Rock n Roll Jesus,sliked,0
All The Small Things,blink-182,Enema Of The State,sliked,0
American Girl,Tom Petty and the Heartbreakers,Anthology: Through The Years,sliked,0
Anger,Downset,Downset,CrapFromtheHeyDays,0
Another Body Murdered,"Faith No More, Boo-Yaa T.R.I.B.E.",Judgement Night - Music From The Motion Picture,CrapFromtheHeyDays,0
Any Way You Want It,Journey,The Essential Journey,sliked,0
Are You Gonna Be My Girl,Jet,Get Born,sliked,0
Are You Gonna Go My Way,Lenny Kravitz,Are You Gonna Go My Way,Working,0
Assassin,Muse,Black Holes and Revelations,CrapFromtheHeyDays,0
Awaiting the Turmoil - Riddick Remix,Valley of the Dead,Trails from the Crypt,CrapFromtheHeyDays,0
Baba O'Riley,The Who,Thirty Years Of Maximum R&B,sliked,0
Baby Shark,Slay Duggee,Kids Love Metal,CrapFromtheHeyDays,0
Ballroom Blitz,Batmobile,Psychobilly Goes Pop,sliked,0
Basket Case,Green Day,Dookie,CrapFromtheHeyDays,0
Been Caught Stealing - 2006 Remaster,Jane's Addiction,Up from the Catacombs: The Best of Jane's Addiction,sliked,0
Between Angels And Insects,Papa Roach,Infest (UK Version),CrapFromtheHeyDays,0
Big Yellow Taxi,Counting Crows,Big Yellow Taxi (International Version),sliked,0
Black Betty,Ram Jam,The Dukes Of Hazzard (Music From The Motion Picture),sliked,0
Black Magic Woman - Live Version,Fleetwood Mac,Black Magic - The Best of the Early Years,sliked,0
Blackstar (Deluxe Edition),Celldweller,Wish Upon a Blackstar (Deluxe Edition),sliked,0
Blackstar (Instrumental),Celldweller,Wish Upon a Blackstar (Deluxe Edition),sliked,0
"Blaze Of Glory - From ""Young Guns II"" Soundtrack",Jon Bon Jovi,Bon Jovi Greatest Hits,sliked,0
Bleeding Love,The Baseballs,Strike!,sliked,0
Bleeding Out (feat. Feed Me),"Korn, Feed Me",The Path of Totality (Special Edition),sliked,0
Blue Monday,Orgy,Candyass,CrapFromtheHeyDays,0
Bring Tha Noize,"Anthrax, Public Enemy",Apocalypse 91… The Enemy Strikes Black,CrapFromtheHeyDays,0
Brown Eyed Girl,Van Morrison,Playlist: The Very Best Of Van Morrison,CrapFromtheHeyDays,0
Burn the Obedient (feat. Noisia),"Korn, Noisia",The Path of Totality (Special Edition),sliked,0
Can't Help Falling in Love,"Elvis Presley, The Jordanaires",Elvis 75 - Good Rockin' Tonight,sliked,0
Can't Shake You,Gloriana,A Thousand Miles Left Behind,sliked,0
Cannonball,The Breeders,Last Splash,Working,0
Cats In The Cradle,Ugly Kid Joe,America's Least Wanted,CrapFromtheHeyDays,0
Celebrity Skin,Hole,Celebrity Skin,CrapFromtheHeyDays,0
Chaos Lives in Everything (feat. Skrillex),"Korn, Skrillex",The Path of Totality (Special Edition),Working,0
Clean My Wounds,Corrosion Of Conformity,Deliverance,CrapFromtheHeyDays,0
Come Clarity,In Flames,Nuclear Blast Showdown 2006,CrapFromtheHeyDays,0
Confetti,The Lemonheads,It's A Shame About Ray [Expanded Edition],sliked,0
Confrontation,Otep,The Ascension,CrapFromtheHeyDays,0
Control,Poe,Haunted,CrapFromtheHeyDays,0
Cornflake Girl,Tori Amos,Under the Pink,sliked,0
Cyco Vision,Suicidal Tendencies,Freedumb,CrapFromtheHeyDays,0
Delinquent Song,Voodoo Glow Skulls,Punk-O-Rama 3,sliked,0
Disaster,Voodoo Glow Skulls,"Adiccion, Tradicion Y Revolucion",Working,0
Dr. Feelgood,Mötley Crüe,Dr. Feelgood,CrapFromtheHeyDays,0
End Of The World Show,Senser,How To Do Battle,Working,0
Enemy,Sevendust,Seasons - Clean,CrapFromtheHeyDays,0
Enter Sandman,Prong,Bodyslam: Wrestling's Greatest Themes,CrapFromtheHeyDays,0
Everything About You,Ugly Kid Joe,America's Least Wanted,CrapFromtheHeyDays,0
Everything Is Alright,Motion City Soundtrack,Commit This To Memory,Working,0
Express Yourself - Remastered 2000,N.W.A.,N.W.A. And Their Family Reunion,CrapFromtheHeyDays,0
Eye of the Tiger,Survivor,Rocky IV,sliked,0
Faith Rape,Kill II This,Deviate,CrapFromtheHeyDays,0
Fallin',"Teenage Fanclub, De La Soul",Judgement Night - Music From The Motion Picture,CrapFromtheHeyDays,0
Fear Of The Dark - 1998 Remastered Version,Iron Maiden,Fear Of The Dark (1998 Remastered Edition),sliked,0
Feel The Pain,Dinosaur Jr.,Without A Sound,CrapFromtheHeyDays,0
Fly,SUB DUB MICROMACHINE,Auferstanden!,CrapFromtheHeyDays,0
Free Fallin',Tom Petty,Full Moon Fever,sliked,0
Friday I'm in Love,The Cure,Wish,Working,0
Frozen,Celldweller,Celldweller,sliked,0
Fuels the Comedy (feat. Kill the Noise),"Korn, Kill The Noise",The Path of Totality (Special Edition),Working,0
Fury Of The Storm,DragonForce,Sonic Firestorm (2010 Edition),sliked,0
Generation Spokesmodel - 2003 Remaster,Mudhoney,My Brother The Cow [Expanded],CrapFromtheHeyDays,0
Genius,Pitchshifter,www.pitchshifter.com,CrapFromtheHeyDays,0
"Get Down, Make Love - Remastered",Nine Inch Nails,Pretty Hate Machine: 2010 Remaster (International Version),sliked,0
Getting Away With Murder,Papa Roach,Getting Away With Murder (Japan / UK Version),CrapFromtheHeyDays,0
Ghettoblaster,Voodoo Glow Skulls,"Adiccion, Tradicion Y Revolucion",sliked,0
Gimme Shelter,"Paul Brady, The Forest Rangers",Songs of Anarchy: Music from Sons of Anarchy Seasons 1-4,Working,0
Girl,T. Rex,Electric Warrior (Deluxe Edition),CrapFromtheHeyDays,0
Girl From Mars,Ash,The Best Of Ash (Remastered Version),CrapFromtheHeyDays,0
Go - Remastered,Pearl Jam,Vs.,sliked,0
Goldfinger,Ash,1977,Working,0
Guilty,Gravity Kills,Gravity Kills,CrapFromtheHeyDays,0
Halo,Soil,Scars (Expanded Edition),CrapFromtheHeyDays,0
Halo,Machine Head,The Blackening,sliked,0
Happy?,Mudvayne,Lost and Found,CrapFromtheHeyDays,0
Hard To Love,Lee Brice,Hard 2 Love,sliked,0
Heartattack And Vine,Tom Waits,Heartattack And Vine,Working,0
Heavy Metal Winner,Consumed,Breakfast At Pappa's,CrapFromtheHeyDays,0
Hey Joe,Body Count,Born Dead,CrapFromtheHeyDays,0
"Hip Hop, Pt. 1 (Live in Manchester) - Freestyle (feat. Chunky)","Dub FX, Chunky",Live in the Street,CrapFromtheHeyDays,0
Hobo Humpin' Slobo Babe,Whale,We Care,CrapFromtheHeyDays,0
Hold the Line,TOTO,Toto,sliked,0
Holiday In Cambodia,Dead Kennedys,OMFG! That’s Punk,Working,0
Holy Diver,Killswitch Engage,As Daylight Dies (Special Edition),CrapFromtheHeyDays,0
Honky Tonk Women - Mono Version,The Rolling Stones,"Through The Past, Darkly (Big Hits Vol. 2) [UK Version]",sliked,0
Hope Street,Levellers,The Best Of [Remastered],Working,0
Hush,Kula Shaker,Clasicos Del Cine,CrapFromtheHeyDays,0
I Alone,Live,Throwing Copper,CrapFromtheHeyDays,0
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,Armageddon - The Album,Working,0
I Remember You,Skid Row,Rhino Hi-Five: Skid Row,sliked,0
I Wanna Be A Drug-Sniffing Dog,Lard,Pure Chewing Satisfaction,Working,0
I Was Made For Lovin' You,KISS,Smashes Thrashes & Hits,sliked,0
I Will Be Heard,Hatebreed,Perseverance (Explicit Version),CrapFromtheHeyDays,0
I'm A Swing It,House Of Pain,Same As It Ever Was,CrapFromtheHeyDays,0
I'm With Stupid,Static-X,Wisconsin Death Trip,CrapFromtheHeyDays,0
I'm Your Boogieman,White Zombie,"Past, Present & Future",sliked,0
If You Still Hate Me,Ill Niño,The Best Of Ill Niño,CrapFromtheHeyDays,0
Illuminati (feat. Excision and Downlink),"Korn, Excision, Downlink",The Path of Totality (Special Edition),sliked,0
Immortal,Adema,Insomniac's Dream,CrapFromtheHeyDays,0
In My Head,Dub FX,Theory of Harmony,CrapFromtheHeyDays,0
Inside Out,Anthrax,Music Of Mass Destruction,Working,0
Invaders Must Die - Liam H Re-amped Version,The Prodigy,Invaders Must Die (Remixes and Bonus Tracks),CrapFromtheHeyDays,0
Jailhouse Rock,Elvis Presley,Elvis 30 #1 Hits,sliked,0
Janie's Got A Gun,Aerosmith,20th Century Masters: The Millennium Collection: The Best Of Aerosmith,Working,0
Jolene,Dolly Parton,Jolene (Expanded Edition),sliked,0
Judgment Night,"Biohazard, Onyx",Judgement Night - Music From The Motion Picture,Working,0
Jumpdafuckup,Soulfly,Primitive (Special Edition),CrapFromtheHeyDays,0
Just So You Know,American Head Charge,The War Of Art,CrapFromtheHeyDays,0
Kill Mercy Within (feat. Noisia),"Korn, Noisia",The Path of Totality (Special Edition),Working,0
Kill Your Gods,Kill II This,Deviate,CrapFromtheHeyDays,0
Kill Your Idols,Static-X,Shadow Zone,sliked,0
Knights of Cydonia,Muse,Black Holes and Revelations,CrapFromtheHeyDays,0
Laid,James,Laid,sliked,0
Let's Go (feat. Noisia),"Korn, Noisia",The Path of Totality (Special Edition),Working,0
Let's Ride,(Hed) P.E.,Major Pain 2 Indee Freedom-The Best of (hed) p.e.,CrapFromtheHeyDays,0
Letters To You,Finch,What It Is To Burn,sliked,0
Linoleum,NOFX,Punk In Drublic,Working,0
Loser,Beck,Mellow Gold,CrapFromtheHeyDays,0
Love Me,Elvis Presley,Elvis,sliked,0
Love Your Money,Daisy Chainsaw,Eleventeen,CrapFromtheHeyDays,0
Lump,The Presidents Of The United States Of America,The Presidents Of The United States Of America (10 Year Anniversary Edition),CrapFromtheHeyDays,0
Machinehead,Bush,Sixteen Stone,CrapFromtheHeyDays,0
Magic Carpet Ride,Steppenwolf,Born To Be Wild (Best Of....),Working,0
Mama Said Knock You Out,Senser,Biting Rhymes,sliked,0
Mayhem And Murder,Voodoo Glow Skulls,"Adiccion, Tradicion Y Revolucion",Working,0
Monster,Static-X,Shadow Zone,sliked,0
More Than a Feeling,Boston,Boston,Working,0
More Than Words,Extreme,Extreme II - Pornograffitti,sliked,0
"Motley Crue/Girls, Girls, Girls",Various Artists,"Girls, Girls, Girls",Working,0
Mr. Brightside,The Killers,Hot Fuss,sliked,0
My Curse,Killswitch Engage,As Daylight Dies (Special Edition),Working,0
My House,Terrorvision,The Essential Terrorvision,CrapFromtheHeyDays,0
My Last Serenade,Killswitch Engage,Alive or Just Breathing,Working,0
My Name Is Mud,Primus,Pork Soda,CrapFromtheHeyDays,0
Nancy Boy,Placebo,Placebo,CrapFromtheHeyDays,0
Narcissistic Cannibal (feat. Skrillex & Kill the Noise),"Korn, Skrillex, Kill The Noise",The Path of Totality (Special Edition),sliked,0
Nearly Lost You,Screaming Trees,Sweet Oblivion,Working,0
Neighbor,Ugly Kid Joe,America's Least Wanted,CrapFromtheHeyDays,0
New Disease,Spineshank,The Height of Callousness [Special Edition],CrapFromtheHeyDays,0
Nightmare,Avenged Sevenfold,Nightmare,CrapFromtheHeyDays,0
No Fronts,Dog Eat Dog,All Boro Kings,CrapFromtheHeyDays,0
Nobody,Skindred,Babylon (Revised Online Music),CrapFromtheHeyDays,0
One Way,Levellers,The Best Of [Remastered],CrapFromtheHeyDays,0
Out Of Season,The Almighty,Free 'N' Easy - The Collection,CrapFromtheHeyDays,0
Over The Edge,The Almighty,Free 'N' Easy - The Collection,CrapFromtheHeyDays,0
Perseverance,Terrorvision,Alternative,CrapFromtheHeyDays,0
Pigwalk,Stuck Mojo,Pigwalk,CrapFromtheHeyDays,0
Piss,Pantera,Vulgar Display of Power (Expanded),CrapFromtheHeyDays,0
Poison,Alice Cooper,Playlist: The Very Best Of Alice Cooper,Working,0
Poison & Wine,The Civil Wars,Barton Hollow,sliked,0
Post Script,Finch,What It Is To Burn,Working,0
Pretend We're Dead,L7,Bricks Are Heavy,CrapFromtheHeyDays,0
Psychosocial,Slipknot,All Hope Is Gone,sliked,0
Purple Haze,Jimi Hendrix,Experience Hendrix: The Best Of Jimi Hendrix,Working,0
Ramblin' Man,Lemon Jelly,Lost Horizons,sliked,0
Ramblin' Man,Lemon Jelly,Lost Horizons,Working,0
Ready to Go,Republica,Republica,CrapFromtheHeyDays,0
Redneck,Lamb of God,Sacrament,CrapFromtheHeyDays,0
Resistance Now,Senser,How To Do Battle,Working,0
Ritual,Downset,Downset,CrapFromtheHeyDays,0
Road to Nowhere,SUB DUB MICROMACHINE,Auferstanden!,CrapFromtheHeyDays,0
Roadhouse Blues - New Stereo Mix,The Doors,The Future Starts Here: The Essential Doors Hits,Working,0
Rot,Dry Kill Logic,The Darker Side of Nonsense,CrapFromtheHeyDays,0
Runaround Sue - Remastered 1991,Dion,The Best Of Dion & The Belmonts,sliked,0
Safe Home,Anthrax,Safe Home,Working,0
Sanctuary (feat. Downlink),"Korn, Downlink",The Path of Totality (Special Edition),Working,0
Scapegoat - Pigfuck Mix,"Fear Factory, Bill Leeb, Rhys Fulber",Fear Is The Mind Killer (Explicit Version),CrapFromtheHeyDays,0
Scooby Snacks,Fun Lovin' Criminals,Come Find Yourself,sliked,0
Scratch The Surface,Sick Of It All,Scratch The Surface,Working,0
Scumgrief - Deep Dub Trauma Mix,"Fear Factory, Rhys Fulber, Bill Leeb",Fear Is The Mind Killer (Explicit Version),CrapFromtheHeyDays,0
Self-Esteem,The Offspring,Smash [Remastered],sliked,0
Selling The Drama,Live,Throwing Copper,Working,0
Seventeen Years Locust,Rob Zombie,Educated Horses,sliked,0
Seventh Son of a Seventh Son - 1998 Remaster,Iron Maiden,Seventh Son Of A Seventh Son (1998 Remastered Edition),sliked,0
Sex on Fire,Kings of Leon,Only By The Night,Working,0
She,Green Day,Dookie,sliked,0
Sit Down,James,Gold Mother,CrapFromtheHeyDays,0
Slight Return,The Bluetones,The Bluetones Collection,CrapFromtheHeyDays,0
Smoke Two Joints,Sublime,40oz To Freedom (Explicit Version),sliked,0
"Snap Your Fingers, Snap Your Neck",Prong,Cleansing,Working,0
So Damn Cool,Ugly Kid Joe,America's Least Wanted,CrapFromtheHeyDays,0
Soldier of Love,Pearl Jam,Last Kiss,sliked,0
Somebody to Shove (2022 Remaster),Soul Asylum,Grave Dancers Union (2022 Remaster),Working,0
Soul to Squeeze,Red Hot Chili Peppers,Greatest Hits,sliked,0
Spaceman,Babylon Zoo,Pure 90s,CrapFromtheHeyDays,0
Starlight (feat. Myles Kennedy),"Slash, Myles Kennedy",Slash (Special Edition),sliked,0
Stay,Shakespears Sister,Shakespears Sister - Best Of,Working,0
Stay With Me (Unlikely),Celldweller,Celldweller,sliked,0
Step Down,Sick Of It All,Scratch The Surface,Working,0
Step On,Happy Mondays,Greatest Hits,CrapFromtheHeyDays,0
Stigmata - Update Mix,Ministry,Land of Rape and Honey,CrapFromtheHeyDays,0
Stinkfist,Maya Hyena,A Tribute To Tool,CrapFromtheHeyDays,0
Stop,Jane's Addiction,Ritual De Lo Habitual,sliked,0
Strike It,Dub War,Pain,CrapFromtheHeyDays,0
Sultans of Swing,Dire Straits,"A History of Rock, Vol. 1",sliked,0
Sun Doesn't Rise,Mushroomhead,XIII,CrapFromtheHeyDays,0
Sunshine Of Your Love,Cream,Disraeli Gears,sliked,0
Suspicious Minds,Elvis Presley,Elvis 75 - Good Rockin' Tonight,Working,0
Sweet Home Alabama,Lynyrd Skynyrd,The Essential Lynyrd Skynyrd,sliked,0
Switchback,Celldweller,Celldweller,Working,0
Sympathy For The Devil,The Rolling Stones,Middle Men (Original Motion Picture Soundtrack),sliked,0
Synthetic,Spineshank,The Height of Callousness [Special Edition],CrapFromtheHeyDays,0
Take This Life,In Flames,Come Clarity,CrapFromtheHeyDays,0
Tears of Blood - Remastered,Biohazard,Urban Discipline,CrapFromtheHeyDays,0
"Tension (feat. Excision, Datsik and Downlink)","Korn, Datsik, Downlink, Excision",The Path of Totality (Special Edition),sliked,0
The Beautiful People,Marilyn Manson,Lest We Forget (The Best Of),CrapFromtheHeyDays,0
The Distance,CAKE,Fashion Nugget,CrapFromtheHeyDays,0
The End,Roadrunner United,The All Star Sessions,CrapFromtheHeyDays,0
The Fight Song,Marilyn Manson,Lest We Forget (The Best Of),CrapFromtheHeyDays,0
The Final Countdown,Europe,The Final Countdown (Expanded Edition),sliked,0
The Fun Lovin' Criminal,Fun Lovin' Criminals,"A-sides, B-sides and Rarities",Working,0
The Gears of War,Body Count,The Gears of War,CrapFromtheHeyDays,0
The Heart Of Saturday Night,Tom Waits,The Heart Of Saturday Night,sliked,0
The House of the Rising Sun - Rerecorded Version,The Animals,Greatest Hits,Working,0
The King Will Come,Wishbone Ash,Argus,sliked,0
The Riverboat Song,Ocean Colour Scene,Ocean Colour Scene Hit Pac - 5 Series,CrapFromtheHeyDays,0
The Truth,Clawfinger,Deafer Dumber Blinder,CrapFromtheHeyDays,0
The Way You Like It,Adema,Adema,CrapFromtheHeyDays,0
This Is The New Shit,Marilyn Manson,Lest We Forget (The Best Of),CrapFromtheHeyDays,0
Three Little Pigs,Green Jelly,Pure... Hard Rock,CrapFromtheHeyDays,0
Through the Fire and Flames,DragonForce,Inhuman Rampage (Special Edition),sliked,0
To Whom It May Concern,The Civil Wars,Barton Hollow,Working,0
Triad,Pitchshifter,Desensitized,CrapFromtheHeyDays,0
Tubthumping,Chumbawamba,Original Hits - Nineties,CrapFromtheHeyDays,0
"Turn Me On ""Mr. Deadman""",The Union Underground,...An Education In Rebellion,CrapFromtheHeyDays,0
Undead,Hollywood Undead,Swan Songs,CrapFromtheHeyDays,0
Unskinny Bop,Poison,The Best Of - 20 Years Of Rock,sliked,0
Used To Love Her,Voodoo Glow Skulls,"Adiccion, Tradicion Y Revolucion",Working,0
Valley Of The Damned - Remastered 2009,DragonForce,Valley of the Damned (2010 Edition),sliked,0
Waiting,Green Day,Warning,Working,0
Walk This Way,Aerosmith,Aerosmith's Greatest Hits,sliked,0
Way Too Far (feat. 12th Planet & Flinch),"Korn, 12th Planet, Flinch",The Path of Totality (Special Edition),Working,0
We Will Rise,Arch Enemy,Anthems Of Rebellion,CrapFromtheHeyDays,0
We're Only Gonna Die (From Our Own Arrogance) - Remastered,Biohazard,Urban Discipline,CrapFromtheHeyDays,0
Weak,Skunk Anansie,Seriously 90s,CrapFromtheHeyDays,0
What Comes Around,Ill Niño,The Best Of Ill Niño,CrapFromtheHeyDays,0
What It Is To Burn,Finch,What It Is To Burn,sliked,0
What It Is To Burn - New Version,Finch,What It Is To Burn,Working,0
What You Do To Me,Teenage Fanclub,Bandwagonesque,sliked,0
Whatever She's Got,David Nail,Whatever She's Got,Working,0
Whiskey Man,Molly Hatchet,Pure... Rock,sliked,0
Who's the King,Dog Eat Dog,All Boro Kings,CrapFromtheHeyDays,0
Whole Lotta Love,"Santana, Chris Cornell",Guitar Heaven: The Greatest Guitar Classics Of All Time,sliked,0
Whose Fist Is This Anyway?,Prong,CLEANSING,CrapFromtheHeyDays,0
Wild Thing (Re-Recorded),The Troggs,60s Classics,sliked,0
Wish,Alien Ant Farm,Anthology,CrapFromtheHeyDays,0
World Wide Rebel Songs,"Tom Morello, The Nightwatchman",Occupy This Album,sliked,0
You Can't Bring Me Down,Suicidal Tendencies,Lights...Camera...Revolution,CrapFromtheHeyDays,0
You Suck - (Album Version),Consolidated,Nettwerk: 25 Years of Music,Working,0
You Wouldn't Know,HELLYEAH,HELLYEAH,CrapFromtheHeyDays,0
You're Going Down,SICK PUPPIES,Tri-Polar,CrapFromtheHeyDays,0
Youth of the Nation,P.O.D.,Satellite (U.S. Version),CrapFromtheHeyDays,0
